
########################################################################################
# ebrains: 4 jobs
########################################################################################
[1/4] ebrains__104638-Wheel-HeadFixed__Wheel-HeadFixed     overlap  7/13  p=0.0000 SEQ | INDEP  3/5  p=0.0012 SEQ [28s]
[3/15] 000897__sub-amadeus-sub-amadeus-ses-08232019-behavio overlap  4/188 p=0.9858 no  | INDEP  1/63 p=0.9605 no  [8s]
[4/15] 000897__sub-amadeus-sub-amadeus-ses-08272019-behavio overlap  7/201 p=0.8793 no  | INDEP  4/67 p=0.4326 no  [13s]
[5/15] 000897__sub-amadeus-sub-amadeus-ses-08292019-behavio overlap 22/155 p=0.0000 SEQ | INDEP  3/52 p=0.4854 no  [17s]
[6/15] 000897__sub-amadeus-sub-amadeus-ses-09172019-behavio overlap 11/136 p=0.0796 no  | INDEP  3/46 p=0.4060 no  [12s]
[7/15] 000897__sub-mahler-sub-mahler-ses-04122021-behavior- overlap 51/205 p=0.0000 SEQ | INDEP 19/69 p=0.0000 SEQ [17s]
[8/15] 000897__sub-mahler-sub-mahler-ses-04132021-behavior- overlap 15/91  p=0.0000 SEQ | INDEP  6/31 p=0.0039 SEQ [5s]
[9/15] 000897__sub-mahler-sub-mahler-ses-04142021-behavior- overlap 23/196 p=0.0001 SEQ | INDEP  8/66 p=0.0169 SEQ [18s]
[10/15] 000897__sub-mahler-sub-mahler-ses-04212021-behavior- overlap 10/138 p=0.1541 no  | INDEP  4/46 p=0.1969 no  [11s]
[11/15] 000897__sub-mahler-sub-mahler-ses-04222021-behavior- overlap 21/165 p=0.0001 SEQ | INDEP 10/55 p=0.0004 SEQ [7s]
[12/15] 000897__sub-mahler-sub-mahler-ses-04252021-behavior- overlap  6/153 p=0.7816 no  | INDEP  3/51 p=0.4725 no  [12s]
[13/15] 000897__sub-mahler-sub-mahler-ses-05042021-behavior- overlap 10/164 p=0.3058 no  | INDEP  3/55 p=0.5232 no  [13s]
[14/15] 000897__sub-mahler-sub-mahler-ses-05062021-behavior- overlap 37/165 p=0.0000 SEQ | INDEP 14/55 p=0.0000 SEQ [12s]
[15/15] 000897__sub-mahler-sub-mahler-ses-05072021-behavior- overlap 30/181 p=0.0000 SEQ | INDEP  8/61 p=0.0108 SEQ [12s]

########################################################################################
# 001701: 436 jobs
########################################################################################
[1/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  2/25  p=0.3576 no  | INDEP  1/9  p=0.3698 no  [3s]
[2/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  1/25  p=0.7226 no  | INDEP  0/9  p=1.0000 no  [3s]
[3/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  1/24  p=0.7080 no  | INDEP  0/8  p=1.0000 no  [3s]
[4/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  0/24  p=1.0000 no  | INDEP  0/8  p=1.0000 no  [3s]
[5/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  0/18  p=1.0000 no  | INDEP  0/6  p=1.0000 no  [3s]
[6/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  0/18  p=1.0000 no  | INDEP  0/6  p=1.0000 no  [3s]
[7/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  1/18  p=0.6028 no  | INDEP  0/6  p=1.0000 no  [3s]
[8/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  3/18  p=0.0581 no  | INDEP  0/6  p=1.0000 no  [2s]
[9/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  3/22  p=0.0948 no  | INDEP  0/8  p=1.0000 no  [3s]
[10/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  6/22  p=0.0006 SEQ | INDEP  1/8  p=0.3366 no  [3s]
[11/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  0/19  p=1.0000 no  | INDEP  0/7  p=1.0000 no  [4s]
[12/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  0/19  p=1.0000 no  | INDEP  0/7  p=1.0000 no  [3s]
[13/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  0/29  p=1.0000 no  | INDEP  0/10 p=1.0000 no  [3s]
[14/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  3/29  p=0.1751 no  | INDEP  2/10 p=0.0861 no  [3s]
[15/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  2/22  p=0.3018 no  | INDEP  0/8  p=1.0000 no  [4s]
[16/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  2/22  p=0.3018 no  | INDEP  0/8  p=1.0000 no  [3s]
[17/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  0/15  p=1.0000 no  | INDEP  0/5  p=1.0000 no  [2s]
[18/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  0/15  p=1.0000 no  | INDEP  0/5  p=1.0000 no  [2s]
[19/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  0/10  p=1.0000 no  | INDEP  0/4  p=1.0000 no  [3s]
[20/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  0/10  p=1.0000 no  | INDEP  0/4  p=1.0000 no  [2s]
[21/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  0/10  p=1.0000 no  | INDEP  0/4  p=1.0000 no  [2s]
[22/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  0/10  p=1.0000 no  | INDEP  0/4  p=1.0000 no  [1s]
[23/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  0/11  p=1.0000 no  | INDEP  0/4  p=1.0000 no  [2s]
[24/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  0/11  p=1.0000 no  | INDEP  0/4  p=1.0000 no  [2s]
[25/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  0/15  p=1.0000 no  | INDEP  0/5  p=1.0000 no  [3s]
[26/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  0/15  p=1.0000 no  | INDEP  0/5  p=1.0000 no  [2s]
[27/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  0/12  p=1.0000 no  | INDEP  0/4  p=1.0000 no  [3s]
[28/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  1/12  p=0.4596 no  | INDEP  0/4  p=1.0000 no  [2s]
[29/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  3/19  p=0.0665 no  | INDEP  0/7  p=1.0000 no  [4s]
[30/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  2/19  p=0.2453 no  | INDEP  0/7  p=1.0000 no  [3s]
[31/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  0/11  p=1.0000 no  | INDEP  0/4  p=1.0000 no  [3s]
[32/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  0/11  p=1.0000 no  | INDEP  0/4  p=1.0000 no  [3s]
[33/436] 001701__sub-AppleBottom-sub-AppleBottom-ses-AppleBot overlap  0/11  p=1.0000 no  | INDEP  0/4  p=1.0000 no  [3s]
